Youtuber,subscribers,video views,category,uploads,Abbreviation,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
Bie The Ska,14100000,4627069704.0,Entertainment,1540,TH,155.0,12502000.0,3100.0,50000.0,37500.0,600100.0,2006.0,10,3.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
AM3NlC,14000000,4959982720.0,Gaming,5757,BR,49.0,10210000.0,2600.0,40800.0,30600.0,490100.0,2012.0,12,15.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Narins Beauty,14000000,2214167846.0,Howto & Style,431,SE,156.0,13709000.0,3400.0,54800.0,41100.0,658000.0,2014.0,9,24.0,67.0,10285453.0,6.48,9021165.0,60.128161,18.643501
TV Ana Emilia,14000000,4674164601.0,People & Blogs,651,MX,156.0,26783000.0,6700.0,107100.0,80300.0,1300000.0,2014.0,12,30.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
ýýýýýýýýýýýý,14000000,7719743112.0,Gaming,2210,RU,56.0,150570000.0,37600.0,602300.0,451700.0,7200000.0,2013.0,10,26.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
Luli Pampï¿½,14000000,8623705301.0,Music,294,ES,136.0,201659000.0,50400.0,806600.0,605000.0,9700000.0,2012.0,12,22.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
Gallina Pintadita,14000000,9660950823.0,Music,62,MX,40.0,70626000.0,17700.0,282500.0,211900.0,3400000.0,2011.0,8,2.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
ViralHog,14000000,18917687143.0,People & Blogs,41117,US,3.0,1364000000.0,340900.0,5500000.0,4100000.0,65500000.0,2014.0,8,22.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
ETV Jabardasth,14000000,13542939513.0,People & Blogs,9652,IN,34.0,133584000.0,33400.0,534300.0,400800.0,6400000.0,2015.0,7,14.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Zee Telugu,14000000,12597067132.0,Entertainment,3,IN,4603.0,7.0,0.0,0.03,0.02,0.34,2007.0,1,31.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Crescendo com Luluca,14000000,5094050461.0,Entertainment,1307,BR,48.0,68058000.0,17000.0,272200.0,204200.0,3300000.0,2015.0,8,30.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Jazzghost,13900000,5673347763.0,Gaming,5494,BR,57.0,106718000.0,26700.0,426900.0,320200.0,5100000.0,2012.0,8,30.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
karameeshchannel,13900000,9106781518.0,Entertainment,2254,JO,137.0,87639000.0,21900.0,350600.0,262900.0,4200000.0,2012.0,1,18.0,34.4,10101694.0,14.72,9213048.0,30.585164,36.238414
Darkar Company Studios,13900000,2244318380.0,Film & Animation,183,US,35.0,4598000.0,1100.0,18400.0,13800.0,220700.0,2009.0,2,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
T-Series Regional,13900000,5217553897.0,Entertainment,15075,IN,136.0,33484000.0,8400.0,133900.0,100500.0,1600000.0,2011.0,2,14.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
ADEL et SAMI,13900000,5465532801.0,Entertainment,503,US,157.0,26883000.0,6700.0,107500.0,80600.0,1300000.0,2018.0,3,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Jamuna TV,13900000,12129583055.0,News & Politics,6,BD,6756.0,1.0,0.0,0.0,0.0,0.05,2021.0,2,10.0,20.6,167310838.0,4.19,60987417.0,23.684994,90.356331
Atlantic Records,13900000,12513842343.0,Music,1660,US,137.0,97284000.0,24300.0,389100.0,291900.0,4700000.0,2006.0,12,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Veritasium,13900000,2165885634.0,Education,369,US,38.0,44149000.0,11000.0,176600.0,132400.0,2100000.0,2010.0,7,21.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Airrack,13800000,2224911030.0,Entertainment,173,US,157.0,99654000.0,24900.0,398600.0,299000.0,4800000.0,2015.0,1,3.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Hacksmith Industries,13800000,1820559912.0,Science & Technology,887,CA,14.0,83943000.0,21000.0,335800.0,251800.0,4000000.0,2006.0,4,20.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
ýýýýýýýý/Atro,13800000,2480957682.0,Gaming,1952,NL,58.0,55122000.0,13800.0,220500.0,165400.0,2600000.0,2017.0,7,2.0,85.0,17332850.0,3.2,15924729.0,52.132633,5.291266
123 GO! Spanish,13800000,5019136690.0,People & Blogs,520,MX,28.0,26519000.0,6600.0,106100.0,79600.0,1300000.0,2019.0,3,13.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
Geo News,13800000,5727888539.0,News & Politics,190093,PK,21.0,100053000.0,25000.0,400200.0,300200.0,4800000.0,2007.0,1,10.0,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116
Kids TV India Hindi Nursery Rhymes,13800000,6646953396.0,Shows,1505,IN,38.0,78651000.0,19700.0,314600.0,236000.0,3800000.0,2014.0,11,17.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Think Music India,13800000,11039343563.0,Music,4978,IN,137.0,217106000.0,54300.0,868400.0,651300.0,10400000.0,2009.0,8,15.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13700000,1967930734.0,Comedy,696,BR,159.0,87804000.0,22000.0,351200.0,263400.0,4200000.0,2015.0,2,6.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Goldmines Premiere,13700000,1973638757.0,Entertainment,975,IN,41.0,37648000.0,9400.0,150600.0,112900.0,1800000.0,2013.0,10,12.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
MAIKI021,13700000,1950178163.0,Entertainment,3298,BR,159.0,7438000.0,1900.0,29800.0,22300.0,357000.0,2008.0,1,22.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
The Vishal bhatt,13700000,9596430464.0,Comedy,1040,IN,36.0,379240000.0,94800.0,1500000.0,1100000.0,18200000.0,2021.0,8,15.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
NishaMadhulika,13700000,2939201386.0,Howto & Style,2158,IN,29.0,22235000.0,5600.0,88900.0,66700.0,1100000.0,2009.0,8,2.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
MyMissAnand,13700000,4963275018.0,People & Blogs,340,IN,159.0,27882000.0,7000.0,111500.0,83600.0,1300000.0,2014.0,7,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
FAPTV,13700000,5457203710.0,Comedy,863,VN,36.0,35124000.0,8800.0,140500.0,105400.0,1700000.0,2014.0,2,26.0,28.5,96462106.0,2.01,35332140.0,14.058324,108.277199
Wesley Safadï¿½,13700000,8134379376.0,Music,438,BR,139.0,64059000.0,16000.0,256200.0,192200.0,3100000.0,2009.0,6,21.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
infobells,13700000,5178142148.0,Education,495,IN,39.0,23893000.0,6000.0,95600.0,71700.0,1100000.0,2011.0,10,20.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Acenix,13600000,2122062016.0,Gaming,368,ES,60.0,47436000.0,11900.0,189700.0,142300.0,2300000.0,2014.0,1,2.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
DALLMYD,13600000,1948925559.0,Sports,412,US,11.0,30677000.0,7700.0,122700.0,92000.0,1500000.0,2011.0,2,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Lindsey Stirling,13600000,3764608356.0,Music,199,US,139.0,15277000.0,3800.0,61100.0,45800.0,733300.0,2007.0,5,20.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
JOJO TV - Hindi Stories,13600000,5141201173.0,Education,1097,IN,42.0,10764000.0,2700.0,43100.0,32300.0,516700.0,2016.0,12,25.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
BBC,13600000,9685060624.0,Pets & Animals,16047,GB,160.0,44414000.0,11100.0,177700.0,133200.0,2100000.0,2005.0,11,12.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Saturday Night Live,13600000,14717282742.0,Entertainment,8335,US,37.0,56626000.0,14200.0,226500.0,169900.0,2700000.0,2013.0,7,23.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
BUDI01 GAMING,13500000,1181292450.0,Gaming,319,ID,61.0,13436000.0,3400.0,53700.0,40300.0,644900.0,2019.0,7,19.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
Typical Gamer,13500000,4301581610.0,Gaming,4312,CA,61.0,32557000.0,8100.0,130200.0,97700.0,1600000.0,2008.0,8,24.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
Anaysa,13500000,3445794123.0,Howto & Style,591,IN,30.0,29706000.0,7400.0,118800.0,89100.0,1400000.0,2012.0,3,10.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
JULIA GISELLA,13500000,5380132790.0,Entertainment,19,GB,3189.0,1615.0,0.4,6.0,5.0,78.0,2015.0,3,24.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Awakening Music,13500000,5545936485.0,Music,814,GB,140.0,35309000.0,8800.0,141200.0,105900.0,1700000.0,2006.0,12,25.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Lady Diana,13500000,8265920659.0,Entertainment,1403,UA,52.0,75162000.0,18800.0,300600.0,225500.0,3600000.0,2016.0,3,21.0,82.7,44385155.0,8.88,30835699.0,48.379433,31.16558
Sanjoy Das Official,13500000,3912334359.0,Entertainment,1793,IN,60.0,179232000.0,44800.0,716900.0,537700.0,8600000.0,2015.0,4,29.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Woody & Kleiny,13500000,11717217293.0,Comedy,975,GB,160.0,495561000.0,123900.0,2000000.0,1500000.0,23800000.0,2013.0,3,30.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Vijay Kumar Viner Vlogs,13500000,7958771872.0,Entertainment,1357,IN,162.0,109813000.0,27500.0,439300.0,329400.0,5300000.0,2019.0,3,22.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Conor Maynard,13500000,2750993392.0,Music,321,US,140.0,10787000.0,2700.0,43100.0,32400.0,517800.0,2006.0,5,19.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Wengie,13500000,1900272833.0,Howto & Style,462,US,30.0,1335000.0,334.0,5300.0,4000.0,64100.0,2010.0,9,9.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Codiscos,13400000,11789678655.0,Music,7356,CO,140.0,228902000.0,57200.0,915600.0,686700.0,11000000.0,2007.0,2,8.0,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13400000,2139769210.0,People & Blogs,1028,IN,53.0,1043000.0,261.0,4200.0,3100.0,50100.0,2016.0,9,9.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
ATHLEAN-Xï¿½,13400000,2319515787.0,Howto & Style,1349,US,31.0,14498000.0,3600.0,58000.0,43500.0,695900.0,2006.0,12,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
My Mate Nate,13400000,3363634923.0,Comedy,1195,TH,162.0,41672000.0,10400.0,166700.0,125000.0,2000000.0,2014.0,12,8.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541
H2ODelirious,13400000,4356686216.0,Gaming,3727,US,62.0,16785000.0,4200.0,67100.0,50400.0,805700.0,2007.0,5,24.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
GMA Integrated News,13400000,9569814790.0,News & Politics,296272,PH,22.0,115459000.0,28900.0,461800.0,346400.0,5500000.0,2007.0,10,29.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
Peet Montzingo,13400000,10022557589.0,People & Blogs,319,US,52.0,397715000.0,99400.0,1600000.0,1200000.0,19100000.0,2014.0,6,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
The Q,13400000,4306212515.0,People & Blogs,96,US,4466.0,3.0,0.0,0.01,0.01,0.14,2006.0,1,17.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Trakin Tech,13300000,2262690743.0,Science & Technology,3640,IN,16.0,43669000.0,10900.0,174700.0,131000.0,2100000.0,2011.0,11,2.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
theRadBrad,13300000,6050102764.0,Gaming,8195,US,63.0,15694000.0,3900.0,62800.0,47100.0,753300.0,2006.0,11,27.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Matt Steffanina,13300000,3299216601.0,Entertainment,331,US,694.0,1929000.0,482.0,7700.0,5800.0,92600.0,2007.0,11,28.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Kurt Hugo Schneider,13300000,3733856870.0,Entertainment,698,US,163.0,4233000.0,1100.0,16900.0,12700.0,203200.0,2007.0,10,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Vogue,13300000,4177184071.0,Entertainment,3166,US,54.0,45095000.0,11300.0,180400.0,135300.0,2200000.0,2008.0,6,29.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
ýýýýýýýýýýýýýýýýýý,13300000,6482687220.0,People & Blogs,608,RU,163.0,90241000.0,22600.0,361000.0,270700.0,4300000.0,2015.0,10,4.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
Kids Lineï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13300000,9088562002.0,People & Blogs,2742,US,41.0,161889000.0,40500.0,647600.0,485700.0,7800000.0,2011.0,11,26.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
VexTrex,13300000,7923901253.0,Entertainment,2411,UA,163.0,379346000.0,0.0,0.0,0.0,0.0,2014.0,9,8.0,82.7,44385155.0,8.88,30835699.0,48.379433,31.16558
penguinz0,13300000,7773543609.0,Gaming,4613,US,162.0,188948000.0,47200.0,755800.0,566800.0,9100000.0,2007.0,5,7.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Just For Laughs Gags,13300000,7406628736.0,Comedy,6916,US,38.0,17468000.0,4400.0,69900.0,52400.0,838500.0,2007.0,1,14.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Kabita's Kitchen,13300000,2831275503.0,Howto & Style,1489,IN,32.0,43118000.0,10800.0,172500.0,129400.0,2100000.0,2014.0,10,7.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
BanderitaX,13300000,4129249415.0,Gaming,1640,SA,63.0,70712000.0,17700.0,282800.0,212100.0,3400000.0,2013.0,8,20.0,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162
AzzyLand,13300000,6412313570.0,Gaming,1749,CA,163.0,5387000.0,1300.0,21500.0,16200.0,258600.0,2015.0,5,8.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
HUBAï¿½ï¿½,13200000,9884886099.0,Entertainment,538,US,163.0,319647000.0,79900.0,1300000.0,958900.0,15300000.0,2021.0,2,20.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13200000,1148422000.0,Entertainment,192,RU,163.0,8769000.0,2200.0,35100.0,26300.0,420900.0,2019.0,1,10.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756
Brawl Stars,13200000,2036408398.0,Gaming,172,FI,64.0,20369000.0,5100.0,81500.0,61100.0,977700.0,2017.0,4,28.0,88.2,5520314.0,6.59,4716888.0,61.92411,25.748151
Sonotek Bhakti,13200000,3789736218.0,Entertainment,8019,IN,142.0,25321000.0,6300.0,101300.0,76000.0,1200000.0,2010.0,12,27.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
MC Divertida,13200000,5224764969.0,Entertainment,413,BR,164.0,64517000.0,16100.0,258100.0,193600.0,3100000.0,2018.0,1,17.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
The Infographics Show,13200000,5263540904.0,Education,4279,US,42.0,51820000.0,13000.0,207300.0,155500.0,2500000.0,2011.0,2,26.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
jbalvinVEVO,13200000,20743586601.0,Music,237,CO,142.0,86270000.0,21600.0,345100.0,258800.0,4100000.0,2010.0,9,30.0,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
ýýýýýýTwinsFromRussia,13200000,9378175604.0,People & Blogs,6888,US,55.0,119389000.0,29800.0,477600.0,358200.0,5700000.0,2011.0,5,16.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Technology Gyan,13200000,1138262456.0,Science & Technology,1022,IN,17.0,18518000.0,4600.0,74100.0,55600.0,888900.0,2015.0,11,17.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
CookingShooking Hindi,13200000,1758603195.0,People & Blogs,393,IN,33.0,11490000.0,2900.0,46000.0,34500.0,551500.0,2017.0,4,4.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Ryan Trahan,13100000,2182651464.0,Entertainment,33,US,7670.0,248.0,0.06,0.99,0.74,12.0,2022.0,6,27.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Alex Gonzaga Official,13100000,1401914513.0,People & Blogs,287,PH,56.0,10848000.0,2700.0,43400.0,32500.0,520700.0,2017.0,7,18.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017
Lokdhun Punjabi,13100000,4712624489.0,Music,1262,IN,143.0,34438000.0,8600.0,137800.0,103300.0,1700000.0,2010.0,12,27.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Painzeiro,13100000,2555801802.0,People & Blogs,1077,BR,56.0,43990000.0,11000.0,176000.0,132000.0,2100000.0,2015.0,11,6.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13100000,4214172991.0,Film & Animation,1365,BR,43.0,27340000.0,6800.0,109400.0,82000.0,1300000.0,2014.0,5,6.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
ýýýýýýýýýýýýýýý Ms Yeah,13100000,4399833602.0,People & Blogs,435,US,34.0,60661000.0,15200.0,242600.0,182000.0,2900000.0,2017.0,2,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Hungria Hip Hop,13100000,4608751851.0,Music,73,BR,143.0,48223000.0,12100.0,192900.0,144700.0,2300000.0,2013.0,4,13.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
RaptorGamer,13100000,2879263916.0,People & Blogs,1444,EC,65.0,62909000.0,15700.0,251600.0,188700.0,3000000.0,2016.0,7,16.0,44.9,17373662.0,3.97,11116711.0,-1.831239,-78.183406
RedeTV,13100000,5333569294.0,Entertainment,36760,BR,165.0,17588000.0,4400.0,70400.0,52800.0,844200.0,2011.0,10,18.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
twenty one pilots,13100000,5264039679.0,Music,194,US,143.0,50922000.0,12700.0,203700.0,152800.0,2400000.0,2009.0,9,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
DJ Khaled,13100000,6637820731.0,Music,12,WS,5659.0,379.0,0.09,2.0,1.0,18.0,2006.0,5,27.0,7.6,202506.0,8.36,35588.0,-13.759029,-172.104629
Davie504,13000000,2683297849.0,Entertainment,838,IT,166.0,29870000.0,7500.0,119500.0,89600.0,1400000.0,2011.0,5,18.0,61.9,60297396.0,9.89,42651966.0,41.87194,12.56738
Everson Zoio,13000000,1024467771.0,Comedy,625,BR,166.0,3052000.0,763.0,12200.0,9200.0,146500.0,2009.0,3,26.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Calon Sarjana,13000000,10664585.0,Entertainment,29,ID,166.0,2292000000.0,0.0,0.0,0.0,0.0,2016.0,1,20.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
Lofi Girl,13000000,1698279553.0,Music,409,FR,143.0,30471000.0,7600.0,121900.0,91400.0,1500000.0,2015.0,3,18.0,65.6,67059887.0,8.43,54123364.0,46.227638,2.213749
GH'S,13000000,8739174649.0,Gaming,510,KR,65.0,1081000000.0,270300.0,4300000.0,3200000.0,51900000.0,2020.0,7,7.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
JesseAndMike,13000000,9999238237.0,Entertainment,716,US,166.0,41109000.0,10300.0,164400.0,123300.0,2000000.0,2007.0,4,29.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Susy Mouriz,13000000,6270909026.0,Entertainment,1299,MX,165.0,368437000.0,92100.0,1500000.0,1100000.0,17700000.0,2017.0,3,18.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
7 Minutoz,13000000,4349562794.0,Music,521,BR,144.0,29526000.0,7400.0,118100.0,88600.0,1400000.0,2012.0,6,4.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
The LaBrant Fam,13000000,4637474071.0,Comedy,612,US,57.0,42412000.0,0.0,0.0,0.0,0.0,2012.0,8,24.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Pastor Antï¿½ï¿½ï¿½ï¿½ï,12900000,2112274210.0,People & Blogs,4712,BR,58.0,31796000.0,7900.0,127200.0,95400.0,1500000.0,2013.0,1,19.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Matheus Yurley,12900000,140022442.0,Entertainment,69,BR,167.0,147626.0,37.0,591.0,443.0,7100.0,2015.0,1,27.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
gymvirtual,12900000,2509752944.0,Sports,1572,ES,12.0,11993000.0,3000.0,48000.0,36000.0,575700.0,2010.0,11,1.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
BIBOï¿½ï¿½ï¿½ï¿½ï,12900000,3178222797.0,Entertainment,193,KR,167.0,4001000.0,1000.0,16000.0,12000.0,192100.0,2016.0,8,8.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
Top Viral Talent,12900000,3643698504.0,Entertainment,1598,US,167.0,29379000.0,7300.0,117500.0,88100.0,1400000.0,2014.0,1,2.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Akon,12900000,6300933122.0,Music,39,US,145.0,91240000.0,22800.0,365000.0,273700.0,4400000.0,2005.0,11,5.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
AlArabiya ï¿½ï¿½ï¿½ï¿½ï¿,12900000,7520379951.0,People & Blogs,169304,AE,23.0,80219000.0,20100.0,320900.0,240700.0,3900000.0,2006.0,9,19.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818
EnriqueIglesiasVEVO,12900000,15446707595.0,Music,137,US,145.0,75773000.0,18900.0,303100.0,227300.0,3600000.0,2009.0,5,12.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
ýýýýýýýý ýýýý ýýýýýýýýýýýýýý,12900000,5585085130.0,Shows,1255,UA,166.0,71118000.0,17800.0,284500.0,213400.0,3400000.0,2014.0,7,17.0,82.7,44385155.0,8.88,30835699.0,48.379433,31.16558
The Shiny Peanut,12900000,2848466522.0,Education,2337,ID,167.0,837700.0,209.0,3400.0,2500.0,40200.0,2016.0,10,26.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
Talking Angela,12800000,3632438963.0,Entertainment,233,GB,45.0,27957000.0,7000.0,111800.0,83900.0,1300000.0,2014.0,9,2.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
Melon City Show - ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,12800000,5863456698.0,Comedy,1727,IQ,40.0,35336000.0,8800.0,141300.0,106000.0,1700000.0,2016.0,1,30.0,16.2,39309783.0,12.82,27783368.0,33.223191,43.679291
Duo Tiempo De Sol,12800000,6662288136.0,Music,323,ES,44.0,53988000.0,13500.0,216000.0,162000.0,2600000.0,2013.0,3,26.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
MrSuicideSheep,12800000,6970899521.0,Entertainment,3483,CA,168.0,18118000.0,4500.0,72500.0,54400.0,869600.0,2010.0,4,9.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
Adam W,12800000,9502983550.0,Comedy,681,US,39.0,228951000.0,57200.0,915800.0,686900.0,11000000.0,2015.0,10,4.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Right to Shiksha,12800000,7876740921.0,Education,2044,IN,45.0,213738000.0,53400.0,855000.0,641200.0,10300000.0,2020.0,4,23.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Beyoncï¿½ï¿½,12800000,14185611472.0,Music,168,US,146.0,89566000.0,22400.0,358300.0,268700.0,4300000.0,2009.0,9,2.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Franco Escamilla,12700000,4266957149.0,Comedy,2483,MX,41.0,77482000.0,19400.0,309900.0,232400.0,3700000.0,2007.0,10,19.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
Adexe & Nau,12700000,4579773883.0,Music,594,ES,147.0,10083000.0,2500.0,40300.0,30200.0,484000.0,2013.0,12,22.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
Future,12700000,9927699419.0,Music,119,US,1473.0,472367.0,118.0,1900.0,1400.0,22700.0,2020.0,11,7.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
YoungBoy Never Broke Again,12700000,13174393401.0,Entertainment,142,US,147.0,169968000.0,42500.0,679900.0,509900.0,8200000.0,2015.0,1,4.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Blossom,12700000,4733873025.0,Howto & Style,812,US,36.0,43868000.0,11000.0,175500.0,131600.0,2100000.0,2017.0,6,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Piuzinho,12700000,1081285962.0,Gaming,504,BR,67.0,3619000.0,905.0,14500.0,10900.0,173700.0,2015.0,5,13.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Go Ami Go!,12700000,1714955279.0,People & Blogs,252,CO,57.0,327600000.0,81900.0,1300000.0,982800.0,15700000.0,2015.0,12,3.0,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333
Morgz,12600000,3303595310.0,Gaming,825,GB,170.0,58838000.0,14700.0,235400.0,176500.0,2800000.0,2014.0,6,10.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
CaseyNeistat,12600000,3152402405.0,People & Blogs,1101,US,61.0,5952000.0,1500.0,23800.0,17900.0,285700.0,2010.0,2,15.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
ýýýýýýýýýSULGI,12600000,3485373675.0,People & Blogs,683,KR,61.0,113132000.0,28300.0,452500.0,339400.0,5400000.0,2012.0,11,5.0,94.3,51709098.0,4.15,42106719.0,35.907757,127.766922
NickiMinajAtVEVO,12600000,8831179714.0,Music,99,US,148.0,35027000.0,8800.0,140100.0,105100.0,1700000.0,2010.0,4,1.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
