cement,slag,flyash,water,superplasticizer,coarseaggregate,fineaggregate,age,csMPa
262.3,246.2,2.9,245.1,1.5,1033.5,666.7,18.4,26.26
397.0,104.8,13.3,245.5,0.4,1036.0,680.1,9.1,32.82
345.6,141.3,-3.6,247.3,0.9,1034.7,655.5,186.6,39.78
200.1,196.8,-4.9,245.3,0.9,1025.6,767.1,187.0,46.93
285.8,248.0,14.9,243.8,1.1,1036.3,671.2,104.0,33.12
326.6,71.7,19.3,244.2,0.7,1023.3,754.7,82.8,49.19
498.3,15.4,8.5,248.0,0.3,1025.0,681.4,374.2,41.93
213.4,149.70000000000002,6.2,209.0,0.6,1079.1,898.2,5.5,9.13
340.1,78.2,9.7,243.2,0.3,1040.9,750.8,182.4,50.95
343.5,148.1,1.3,246.4,1.6,1027.4,669.1,36.5,33.02
291.7,114.0,6.6,247.2,1.4,1022.3,741.8,277.2,51.73
328.6,13.9,5.7,213.0,0.5,1077.6,915.4,2.3,9.87
222.0,188.4,9.5,246.6,0.9,1019.3,746.5,277.8,50.66
288.6,119.8,-4.6,244.7,0.5,1043.5,753.4,187.1,48.7
155.2,209.6,2.2,211.2,1.3,1136.5,891.8,374.8,44.7
360.1,150.7,10.9,247.7,1.3,1034.2,673.2,13.1,30.28
222.4,181.9,1.1,246.1,1.0,1036.4,750.7,37.4,40.86
513.6,19.5,-1.0,164.0,1.2,1223.3,879.8,23.4,71.99
405.1,188.5,18.6,188.79999999999998,11.1,1025.0,828.0,4.8,34.4
334.6,270.5,5.7,193.5,9.9,1144.5,676.5999999999999,1.6,28.8
449.1,112.2,1.7,172.2,17.4,936.4,959.9,7.3,33.4
445.9,107.3,-5.5,167.4,19.3,1027.1,868.0,18.1,36.3
399.2,93.7,10.2,142.29999999999998,23.7,954.9,1076.6,-3.0999999999999996,29.0
488.4,133.2,10.0,154.10000000000002,31.900000000000002,954.4,938.0,5.7,40.2
398.5,100.19999999999999,3.5,177.4,12.7,941.2,1011.2,7.3,28.1
561.0999999999999,10.2,-1.7,160.5,28.4,952.0,968.7,4.5,41.3
448.7,107.0,5.3,173.9,17.2,951.2,964.6,16.2,33.4
329.7,214.6,0.1,173.39999999999998,15.600000000000001,962.9,967.1,14.5,25.2
434.6,106.60000000000001,-0.6,163.1,12.1,1040.7,924.5,13.8,41.1
381.0,205.0,4.8,185.5,12.0,1037.8,834.1999999999999,5.7,35.3
352.2,289.0,-1.3,201.9,10.4,1032.7,719.6,6.9,28.3
398.20000000000005,184.2,7.0,185.8,11.4,1034.1000000000001,824.0999999999999,10.8,35.3
315.6,226.3,9.4,164.1,12.6,1104.7,876.4000000000001,8.5,24.4
402.5,189.2,0.0,187.70000000000002,11.2,1036.4,838.3,2.5,35.3
454.0,171.2,-3.4,203.7,11.2,990.4,779.0,12.2,39.3
422.0,219.7,15.5,166.0,21.3,1037.0,838.0999999999999,-5.5,40.6
383.40000000000003,193.2,-0.6,184.9,12.0,1053.8,834.5999999999999,14.2,35.3
356.7,183.9,1.2,191.9,9.9,1045.1000000000001,848.1999999999999,18.3,24.1
395.9,190.89999999999998,6.8,187.9,10.5,1025.3,825.3000000000001,13.8,46.2
338.0,273.2,9.3,190.5,9.2,1135.1000000000001,672.6999999999999,17.0,42.8
453.5,115.8,3.8,168.3,16.6,951.8000000000001,944.6,11.4,49.2
440.7,106.6,8.4,169.8,18.700000000000003,1033.5,879.8000000000001,5.2,46.8
512.4,142.7,2.9,200.9,10.6,954.2,868.2,19.9,55.6
501.8,120.4,-0.8,157.3,32.6,945.3000000000001,919.3,6.1,54.9
436.9,103.6,14.7,172.4,17.7,938.0,969.8000000000001,25.3,49.2
574.8,16.3,21.5,161.8,28.3,951.4,970.6,9.4,46.9
366.6,232.0,16.4,172.6,15.9,950.4,959.6,12.0,33.4
442.1,95.3,6.4,165.0,12.9,1045.8999999999999,917.2,11.6,54.1
388.70000000000005,184.4,17.3,184.6,12.4,1049.7,848.8,14.1,55.9
340.4,299.7,7.7,202.9,10.3,1032.6000000000001,741.1,8.0,49.8
401.6,178.7,2.4,182.6,12.299999999999999,1023.4000000000001,822.4,9.6,55.9
310.0,197.8,8.5,165.7,11.899999999999999,1105.5,865.1,19.1,38.0
403.3,205.3,4.8,180.3,12.4,1045.0,837.4,2.7,55.9
469.1,184.3,-0.9,203.0,11.1,978.4,784.3,7.4,56.1
428.09999999999997,194.4,-0.3,163.4,21.7,1043.2,830.8,6.1,59.09
394.3,199.9,10.6,184.8,12.299999999999999,1033.7,844.6999999999999,10.9,22.9
373.2,195.4,-6.5,193.0,10.1,1025.5,828.5,12.0,35.1
402.0,185.5,9.4,185.5,10.7,1010.1,827.1,31.3,61.09
359.90000000000003,281.2,-5.1,194.7,9.799999999999999,1144.4,695.0,34.4,59.8
454.3,125.8,-8.2,174.0,16.3,960.0,969.3000000000001,38.5,60.29
457.1,115.89999999999999,-6.4,171.1,19.8,1030.1,870.6,37.5,61.8
422.6,102.0,18.1,146.1,23.599999999999998,955.6,1076.3,31.5,56.7
488.8,147.2,4.2,195.2,9.3,944.7,874.7,34.0,68.3
439.6,111.6,6.0,169.7,16.6,948.8000000000001,961.7,27.2,60.29
426.70000000000005,102.6,14.6,177.1,12.799999999999999,955.5,998.1,40.8,50.7
547.0,11.0,11.5,159.8,27.7,950.3000000000001,965.1,33.7,56.4
473.3,127.1,-3.5,172.8,16.8,945.1,971.3000000000001,17.5,60.29
342.40000000000003,234.3,11.1,171.1,14.600000000000001,942.5,964.9,30.4,55.5
421.90000000000003,100.2,6.6,165.4,12.8,1043.3,920.4,27.0,68.5
410.70000000000005,199.5,3.3,180.1,12.299999999999999,1051.1000000000001,842.3,38.7,71.3
367.09999999999997,278.40000000000003,5.6,197.8,11.3,1027.7,747.6,28.9,74.7
427.0,156.2,13.7,172.70000000000002,16.5,1238.2,684.7,28.4,52.2
400.0,189.4,-0.3,184.8,11.6,1044.1000000000001,815.4,29.5,71.3
305.2,199.8,8.0,163.39999999999998,12.399999999999999,1094.2,887.4000000000001,21.7,67.7
410.5,211.6,5.4,183.0,11.7,1041.7,819.9,23.5,71.3
464.1,177.8,-6.1,200.8,11.4,980.5,791.1999999999999,35.9,66.0
426.2,192.1,0.3,166.20000000000002,22.7,1034.5,841.3,27.6,74.5
400.40000000000003,200.0,6.7,182.9,12.799999999999999,1037.7,840.9,39.8,71.3
364.2,208.2,13.8,197.20000000000002,10.0,1032.1000000000001,811.9,26.1,49.9
408.4,201.2,11.9,190.29999999999998,11.6,1007.2,828.1,61.0,63.4
350.90000000000003,294.3,9.3,189.3,8.9,1145.3000000000002,695.0999999999999,58.5,64.9
406.9,100.89999999999999,0.2,146.4,24.4,957.4,1069.3,53.5,60.2
441.4,116.39999999999999,17.1,168.6,17.1,962.0,952.0,61.5,64.3
419.70000000000005,107.3,6.8,174.4,13.7,940.6,999.5,56.6,55.2
573.0999999999999,20.4,-1.0,159.4,29.0,966.0,971.0,60.6,58.8
445.7,118.6,4.3,171.4,16.0,961.1,950.5,63.3,64.3
345.2,219.2,11.2,174.7,15.600000000000001,960.3000000000001,971.6,55.1,66.1
425.2,94.10000000000001,5.5,163.3,12.0,1037.8999999999999,936.0,75.8,73.7
409.90000000000003,198.9,11.2,180.6,11.9,1037.5,834.3,57.0,77.3
358.7,302.90000000000003,12.6,203.20000000000002,11.700000000000001,1024.8,731.3,65.4,80.2
411.7,155.39999999999998,8.0,172.0,16.3,1233.0,679.8,60.1,54.9
382.5,201.4,-0.1,183.4,12.6,1038.8,827.8,61.1,77.3
319.90000000000003,210.8,6.3,158.1,11.399999999999999,1103.0,873.0,61.7,72.99
383.5,204.4,5.7,182.70000000000002,11.7,1035.4,834.3,56.2,77.3
467.3,177.7,17.4,202.2,12.799999999999999,987.3,794.1999999999999,60.3,71.7
411.2,217.5,-5.0,162.1,22.2,1044.5,831.5999999999999,60.7,79.4
397.6,185.5,4.6,185.0,11.9,1033.0,829.8,61.6,77.3
371.9,193.5,1.7,190.70000000000002,9.1,1041.5,834.5999999999999,58.2,59.89
399.8,205.29999999999998,7.6,185.9,11.7,1025.5,840.4000000000001,95.4,64.9
345.40000000000003,272.59999999999997,-10.3,192.9,9.5,1159.7,684.9,87.7,66.6
441.5,121.39999999999999,12.6,172.6,17.3,950.0,953.2,93.8,65.2
437.3,109.7,5.5,167.6,19.8,1025.9,888.7,91.9,66.7
407.5,100.89999999999999,-6.4,147.4,23.2,946.8000000000001,1058.9,95.8,62.5
504.7,126.7,3.1,202.29999999999998,9.200000000000001,949.0,863.2,97.9,74.19
503.6,138.8,9.4,154.10000000000002,32.800000000000004,948.2,917.0,95.7,70.7
477.9,120.2,-4.8,171.1,16.2,935.0,957.1,106.5,65.2
426.40000000000003,111.89999999999999,5.5,174.4,13.5,946.7,1014.3000000000001,87.2,57.6
549.6999999999999,2.0,-1.4,156.3,28.8,943.9,979.1,102.9,59.2
464.6,122.6,1.9,172.3,16.9,947.3000000000001,969.1,98.6,65.2
333.0,222.3,5.6,175.39999999999998,15.100000000000001,965.8000000000001,961.3,95.6,68.1
424.90000000000003,114.7,6.6,169.8,11.6,1037.5,933.3000000000001,83.9,75.5
406.7,176.79999999999998,2.4,170.1,16.6,1242.7,674.3,98.4,56.5
408.5,194.1,7.2,185.9,14.3,1050.9,828.5999999999999,93.3,79.3
306.40000000000003,205.1,10.7,165.7,12.2,1107.1,867.7,97.0,76.8
381.90000000000003,189.1,3.7,183.5,13.2,1041.9,835.5,86.8,79.3
465.9,183.5,14.7,205.4,11.5,987.1999999999999,796.8,92.0,73.3
410.9,193.4,14.9,165.9,22.2,1038.4,830.0,94.9,82.6
402.3,199.9,2.7,187.3,12.4,1037.6000000000001,835.0,104.1,79.3
354.5,195.5,1.3,194.1,9.3,1036.1000000000001,828.8,93.0,67.8
238.3,4.6,91.4,207.3,3.8,1066.4,943.8,-4.2,11.58
245.8,17.2,101.3,205.60000000000002,5.6,1062.6,944.9,20.3,24.45
245.1,-0.5,99.8,208.10000000000002,5.5,1062.4,935.6999999999999,41.8,24.89
270.5,11.6,107.2,209.60000000000002,5.6,1075.3,956.9,58.7,29.45
260.3,4.2,92.4,208.0,5.1,1058.8,947.5999999999999,100.0,40.71
262.6,14.2,98.3,214.4,6.3999999999999995,1049.9,937.4000000000001,9.6,10.38
248.9,20.0,106.3,216.20000000000002,5.199999999999999,1040.1,932.0,23.9,22.84
270.6,5.1,95.3,215.8,4.8999999999999995,1031.8,923.0,105.5,34.56
212.2,11.7,101.0,184.29999999999998,6.3,1092.5,980.6,6.6,12.45
206.5,9.4,96.6,180.2,8.1,1099.8,970.3,17.0,24.99
235.1,0.7,122.9,184.9,8.6,1108.5,989.6,59.3,33.96
225.89999999999998,9.9,101.1,185.0,8.1,1108.6,984.3,100.4,37.34
228.29999999999998,10.3,122.5,181.2,9.1,1185.3,874.9,4.4,15.04
222.0,11.4,125.7,180.2,9.8,1192.0,869.1,28.0,26.4
227.6,6.0,125.9,176.4,8.3,1187.8,876.6,106.2,40.57
233.2,8.6,125.3,198.4,7.1,1152.6999999999998,847.5999999999999,8.0,12.47
229.2,-2.4,132.4,200.70000000000002,5.4,1161.3999999999999,857.6999999999999,15.6,20.92
247.2,4.6,125.1,196.60000000000002,6.9,1164.0,848.0999999999999,35.8,24.9
231.6,12.7,121.1,194.20000000000002,6.4,1162.6999999999998,873.3,63.5,34.2
232.79999999999998,15.7,117.69999999999999,195.10000000000002,6.2,1152.3999999999999,864.5999999999999,115.5,39.61
253.2,4.0,123.89999999999999,214.3,5.1,1131.0,832.9,13.1,10.03
258.1,8.7,124.0,214.4,5.1,1110.0,823.9,18.5,20.08
254.2,9.8,133.6,215.5,5.0,1128.1000000000001,835.0,26.1,24.48
243.5,9.6,124.39999999999999,213.5,5.3999999999999995,1129.4,820.0,62.2,31.54
251.2,12.5,123.1,210.4,5.1,1127.8000000000002,844.5,97.2,35.34
195.0,-8.3,123.9,178.3,9.8,1183.5,886.3000000000001,36.7,28.47
224.8,7.3,128.7,181.8,10.8,1195.3999999999999,891.7,58.6,38.56
201.5,9.9,127.8,180.3,10.200000000000001,1184.6,875.4,112.1,40.39
182.5,-1.1,166.4,196.0,5.8,1154.6999999999998,864.0,0.8999999999999999,10.76
194.6,22.6,162.60000000000002,195.6,5.1,1153.8999999999999,868.6,18.3,25.48
186.29999999999998,9.2,172.20000000000002,194.2,5.2,1163.8,853.9,33.9,21.54
210.2,21.6,167.8,194.3,3.9,1153.5,851.5,56.7,28.63
180.5,0.8,167.5,198.6,4.4,1149.3,868.4,113.2,33.54
198.7,41.9,158.20000000000002,140.8,6.9,1155.0,858.6,25.0,7.75
195.5,51.900000000000006,172.4,139.7,5.9,1169.2,860.9,25.0,17.82
183.7,35.1,172.4,140.9,6.0,1153.5,856.7,27.6,24.24
201.4,51.8,163.8,140.4,6.2,1160.7,847.3000000000001,53.8,32.85
194.1,50.7,175.60000000000002,135.3,7.1,1153.7,866.4,102.7,39.23
249.7,114.8,21.2,201.2,7.800000000000001,1160.8,846.3,6.6,18.0
250.29999999999998,112.1,29.8,203.7,8.3,1158.6,870.8,57.7,50.77
264.3,102.19999999999999,28.2,198.2,7.4,1153.5,860.5,96.3,53.9
255.70000000000002,96.19999999999999,21.5,203.0,7.5,1162.3,861.3,10.8,13.18
237.9,121.0,31.2,199.29999999999998,6.6000000000000005,1168.8,858.5,15.6,17.84
239.20000000000002,98.89999999999999,40.9,200.5,8.0,1175.4,867.1,34.5,40.23
253.20000000000002,96.6,30.4,202.1,7.4,1166.6,866.1,75.7,47.13
248.60000000000002,96.3,27.0,198.29999999999998,7.4,1156.8,875.9,93.0,49.97
264.3,17.6,126.5,216.0,6.8999999999999995,1131.1,833.4,18.2,22.32
240.7,3.2,124.3,210.7,7.6,1128.8,833.4,32.9,24.54
257.4,1.1,123.8,211.5,6.6,1136.1999999999998,832.0,60.6,31.35
249.89999999999998,9.0,120.9,212.1,7.699999999999999,1141.5,835.8000000000001,104.2,40.86
269.0,5.9,108.69999999999999,206.29999999999998,7.1,1056.5,920.7,9.0,19.93
265.0,1.8,102.5,204.1,7.9,1044.0,933.7,11.5,25.69
275.6,14.4,96.1,201.6,8.8,1045.8,935.4,32.5,30.23
269.4,17.2,98.89999999999999,204.39999999999998,7.3,1056.1,908.7,101.4,44.3
286.2,16.5,96.4,203.9,6.3,1050.1,928.1,11.8,24.92
235.6,14.5,101.9,179.0,9.899999999999999,1103.8999999999999,972.7,5.4,13.54
230.5,11.3,101.7,176.70000000000002,9.2,1109.8999999999999,986.3000000000001,21.2,31.64
236.1,-7.9,98.5,177.60000000000002,8.399999999999999,1113.3,973.7,44.5,42.55
240.3,22.5,110.9,176.60000000000002,8.7,1106.7,985.4,105.8,42.92
244.5,10.4,104.0,178.5,11.4,1078.5,992.1999999999999,4.6,13.33
264.2,13.1,109.4,177.1,11.6,1103.6,987.4,19.9,25.37
240.1,17.6,101.5,178.20000000000002,11.5,1098.5,972.5999999999999,65.2,44.4
230.5,20.4,105.5,172.0,11.700000000000001,1093.3999999999999,971.4,113.0,47.74
236.3,11.5,125.7,177.3,8.5,1182.8000000000002,855.2,22.9,31.35
235.1,11.6,134.9,178.0,8.6,1191.3000000000002,880.8,36.8,38.5
245.0,2.5,128.7,176.7,7.5,1173.8000000000002,866.6,104.5,47.82
243.60000000000002,8.1,122.3,193.6,7.5,1165.9,856.2,15.9,15.44
260.40000000000003,0.2,116.5,193.7,7.7,1161.2,857.7,13.4,26.77
261.40000000000003,1.4,128.79999999999998,194.9,7.0,1160.8000000000002,845.2,30.1,33.73
262.2,-0.1,122.5,192.4,7.7,1147.2,863.5,52.4,42.7
253.5,6.4,127.0,188.0,6.2,1151.6000000000001,847.4,106.8,45.84
276.8,17.0,120.6,201.7,6.9,1122.6000000000001,830.2,4.3,17.22
264.4,35.8,129.9,203.2,6.6,1125.6000000000001,825.4000000000001,21.0,29.93
274.2,9.4,127.3,206.6,7.699999999999999,1125.1000000000001,835.4000000000001,34.4,29.65
273.7,-4.1,126.6,206.3,7.3,1123.1000000000001,829.6,73.2,36.97
283.7,18.9,119.8,207.2,7.3,1124.2,853.4000000000001,98.9,43.58
267.2,5.1,126.8,205.3,7.5,1123.9,829.8000000000001,8.3,13.12
287.5,1.9,134.8,205.1,7.4,1127.7,836.5,17.7,24.43
295.0,9.6,118.39999999999999,207.8,6.300000000000001,1112.7,832.7,41.0,32.66
257.7,-3.2,124.89999999999999,208.0,6.800000000000001,1129.4,842.2,59.0,36.64
283.8,9.7,113.1,206.1,8.1,1138.8000000000002,835.0,96.6,44.21
216.4,7.0,181.5,187.7,7.3999999999999995,1161.1,843.3,-2.5999999999999996,13.62
202.70000000000002,8.6,169.9,188.6,8.0,1145.3999999999999,856.6999999999999,18.8,21.6
205.20000000000002,11.1,177.5,188.79999999999998,7.3999999999999995,1160.8999999999999,858.6999999999999,40.4,27.77
207.9,8.4,161.3,185.29999999999998,9.1,1170.6,844.6999999999999,59.7,35.57
206.20000000000002,7.9,184.1,186.2,7.8999999999999995,1150.8999999999999,846.6999999999999,109.5,45.37
206.7,55.5,125.2,185.7,9.799999999999999,1162.2,852.7,7.1,7.32
192.4,56.6,131.0,187.29999999999998,8.6,1174.5,860.1,14.0,21.5
222.0,43.900000000000006,128.4,190.1,8.5,1164.6000000000001,855.1,40.2,31.27
221.2,40.300000000000004,125.8,189.5,9.6,1168.6000000000001,839.7,46.9,43.5
201.4,52.400000000000006,138.3,186.0,9.399999999999999,1148.1000000000001,851.8000000000001,101.3,48.67
181.5,37.300000000000004,119.1,177.5,9.8,1179.8,882.7,19.6,23.51
202.3,50.7,131.7,176.60000000000002,11.700000000000001,1181.0,878.7,26.6,31.12
190.8,58.300000000000004,135.6,175.4,11.8,1182.3999999999999,878.8000000000001,62.5,39.15
319.79999999999995,13.1,101.5,183.2,10.200000000000001,1064.5,941.9,24.4,34.67
315.0,-1.5,100.9,185.9,9.6,1059.6000000000001,959.9,31.6,34.74
325.59999999999997,0.2,100.7,187.7,10.0,1048.2,941.8,58.6,45.08
325.59999999999997,10.7,93.7,181.6,9.8,1066.7,940.4,102.1,48.97
297.40000000000003,4.2,103.10000000000001,177.9,12.600000000000001,1074.0,949.1,3.5,23.14
290.6,5.0,106.2,183.6,12.3,1061.9,949.7,17.9,41.89
288.5,13.0,103.30000000000001,180.2,12.100000000000001,1077.0,959.3000000000001,30.0,48.28
311.40000000000003,-0.9,101.10000000000001,179.29999999999998,12.5,1075.4,936.0,59.3,51.04
311.2,4.2,97.89999999999999,188.1,10.0,1056.5,926.9000000000001,23.7,22.95
318.3,0.7,99.3,188.2,9.700000000000001,1050.0,947.9000000000001,99.5,52.04
273.5,-1.4,113.5,164.1,12.700000000000001,1115.9,970.8,9.0,21.02
279.2,0.2,91.9,167.7,13.200000000000001,1107.6,968.0,61.4,44.14
259.5,13.8,105.60000000000001,165.2,13.700000000000001,1097.0,975.8,117.0,45.37
279.0,8.2,102.1,174.4,14.4,1073.0,960.2,1.5,15.36
282.5,0.0,113.6,178.79999999999998,14.200000000000001,1079.0,968.7,18.3,28.68
278.0,5.7,104.6,175.6,13.8,1066.5,956.6,28.2,30.85
273.8,-6.7,113.8,179.9,12.8,1083.0,978.5,62.1,42.03
278.1,1.3,90.6,175.0,12.600000000000001,1086.0,955.7,110.8,51.06
284.40000000000003,26.8,107.2,162.3,14.7,1075.6,965.6,3.0,21.78
251.20000000000002,7.0,106.1,164.8,14.0,1080.7,966.8,17.2,42.29
300.7,14.2,113.2,166.5,14.399999999999999,1097.1,968.3,37.8,50.6
284.3,7.2,93.7,166.70000000000002,14.7,1085.8,965.8,60.6,55.83
273.40000000000003,10.8,103.3,164.8,14.5,1096.8999999999999,966.3,104.9,60.95
270.6,13.6,131.0,159.3,12.4,1182.5,877.6,2.7,23.52
279.90000000000003,-2.0,127.39999999999999,160.4,11.8,1182.6,888.8,27.9,42.22
273.5,7.5,138.4,157.10000000000002,12.8,1166.8999999999999,877.1999999999999,57.9,60.32
253.5,21.7,128.4,159.5,13.2,1189.6,886.0,102.8,66.42
324.6,0.8,140.0,177.3,10.200000000000001,1159.3,848.9,5.7,23.8
301.90000000000003,2.8,133.70000000000002,178.5,11.0,1148.1,854.8,24.6,38.77
313.70000000000005,5.1,133.0,176.9,12.100000000000001,1148.3999999999999,853.8,39.8,51.33
295.8,10.1,130.5,177.5,10.5,1157.1,862.9,59.4,56.85
319.1,12.4,120.0,176.8,10.9,1145.1,850.1,104.6,58.61
328.09999999999997,19.0,120.2,194.5,10.2,1113.8999999999999,825.2,10.7,21.91
331.5,12.2,126.6,191.0,10.7,1122.3999999999999,829.6,19.8,36.99
314.2,7.2,127.3,194.70000000000002,9.1,1115.3,830.6,37.4,47.4
337.8,18.9,131.4,197.10000000000002,9.5,1124.7,813.8,111.4,56.74
248.89999999999998,14.0,177.1,174.0,10.899999999999999,1143.5,846.8,3.6,17.57
255.29999999999998,-5.4,174.6,171.8,11.399999999999999,1162.4,862.6999999999999,17.2,33.73
235.1,30.1,185.7,171.8,10.899999999999999,1155.8,851.6999999999999,32.3,40.15
236.6,23.4,174.89999999999998,175.5,9.799999999999999,1151.2,851.8,57.5,46.64
265.7,6.3,185.79999999999998,170.5,10.299999999999999,1143.9,858.3,90.7,50.08
230.3,11.1,187.39999999999998,170.7,11.899999999999999,1141.3,857.2,2.6,17.37
240.0,19.5,182.6,170.2,12.6,1142.5,866.9,13.6,33.7
253.3,6.3,177.29999999999998,170.0,11.899999999999999,1138.3,857.9,34.1,45.94
242.5,14.2,179.89999999999998,170.5,11.899999999999999,1159.8999999999999,849.2,107.3,59.3
311.2,115.3,33.8,180.5,12.5,1161.5,860.3,9.4,30.45
301.0,96.6,30.0,181.2,12.6,1167.2,866.1,20.3,47.71
309.0,100.3,44.1,177.29999999999998,11.6,1172.4,867.6,54.9,66.82
232.5,70.5,122.89999999999999,159.4,12.8,1183.0,862.7,9.5,35.96
263.5,66.4,122.8,160.60000000000002,11.4,1176.4,875.5,37.5,55.51
244.89999999999998,70.5,123.0,159.20000000000002,12.700000000000001,1169.7,884.4000000000001,51.4,61.99
239.0,61.2,125.5,156.9,13.200000000000001,1178.7,868.6,116.7,63.53
249.8,59.0,113.30000000000001,170.6,10.5,1113.1,858.0,20.4,38.6
238.0,43.9,123.30000000000001,175.9,10.299999999999999,1109.3999999999999,850.4,61.3,53.96
228.9,51.5,123.10000000000001,174.79999999999998,10.0,1107.5,849.3000000000001,107.0,56.63
232.70000000000002,8.2,130.1,177.9,11.5,1184.3,872.3,4.7,15.34
254.10000000000002,15.1,132.29999999999998,174.3,11.8,1187.4,878.6,23.0,26.05
245.20000000000002,12.5,121.6,177.1,11.0,1173.7,869.8,31.8,30.22
245.4,6.6,135.4,178.0,12.9,1172.5,881.1999999999999,55.4,37.27
258.1,5.4,141.2,177.3,12.3,1181.3,879.6,107.3,46.23
392.1,9.7,4.1,231.1,0.6,1095.7,836.6999999999999,24.4,16.28
396.3,8.5,15.6,234.9,0.3,1105.4,845.6,11.7,25.62
399.9,20.2,6.7,229.5,0.6,1114.2,838.6999999999999,31.2,31.97
404.9,9.1,18.3,234.7,1.1,1097.4,840.5,68.8,36.3
403.5,-5.3,12.7,235.1,1.2,1100.9,848.4,101.5,43.06
524.9,-3.5,-4.6,161.5,4.1,1078.7,950.1,41.0,67.57
342.3,158.2,5.6,162.4,6.0,1224.3,811.0,39.3,81.75
477.8,-2.6,12.3,181.0,13.200000000000001,1128.3,819.6,32.7,78.8
540.4,14.5,5.7,189.8,6.5,944.9,941.7,31.5,60.28
539.4,5.4,5.2,191.6,6.300000000000001,961.7,880.3,38.4,51.02
415.8,6.3,149.6,176.2,20.5,989.5,841.8,27.8,55.55
518.7,6.6,0.9,217.5,4.2,1244.3000000000002,704.0,37.3,44.13
465.90000000000003,68.6,5.6,216.2,2.9,1226.0,690.0,41.2,39.38
421.7,23.299999999999997,165.5,185.8,22.3,1063.8,716.7,40.2,55.65
359.3,25.0,166.3,182.2,18.5,1085.0,726.8,38.8,47.28
385.5,11.900000000000002,163.3,208.4,16.400000000000002,1050.0,697.7,26.5,44.33
425.6,9.6,10.5,191.1,1.0,1219.1,768.2,36.8,52.3
237.8,212.5,8.2,204.4,0.6,1241.0,742.9,32.1,49.25
551.8,9.9,0.2,180.0,8.8,902.1,880.9,26.0,41.37
160.5,136.1,117.3,203.1,7.1,935.6,950.8,31.7,29.16
196.0,136.3,122.4,201.4,7.6000000000000005,929.1,973.1,23.7,39.4
265.5,190.4,100.5,178.9,9.1,956.8,878.3,31.5,67.87
475.1,22.3,4.4,175.1,9.1,1146.0,731.2,31.8,58.52
309.3,174.1,120.1,178.0,10.5,924.0,852.9,35.9,76.24
